Ticker,DVS Valor,DVS Qualid.,DVS Cresc.,DVS Divid.,DVS Baixa Alav.,DVS Baixa Vol.,DVS Total,Ret 1M,Ret 3M,Ret 1A,Ret 2A,Ret 5A,Ret 10A
"RSUL4","68.74","90.43","38.57","8.72","86.40","100.00","65.00","4.70","1.68","8.37","11.18","0.00","0.00"
"ABCB4","66.40","73.18","56.44","19.25","100.00","100.00","64.58","4.12","6.16","0.36","20.52","132.38","309.89"
"GRND3","59.02","86.85","45.11","20.06","93.18","100.00","61.97","0.09","-3.92","-7.24","-15.44","7.59","141.53"
"VULC3","46.26","92.37","82.49","26.82","80.00","100.00","60.56","6.28","11.79","29.70","25.19","381.23","1869.25"
"CMIG4","63.08","75.52","49.46","24.31","80.00","100.00","58.83","2.15","4.34","5.01","45.52","230.63","549.51"
"JHSF3","75.77","62.86","44.08","17.89","70.64","100.00","58.38","1.47","4.22","31.32","27.05","3.36","438.80"
"TGMA3","45.58","92.42","63.56","13.04","86.04","100.00","57.91","4.53","4.27","39.51","67.23","100.97","964.87"
"SBSP3","48.65","80.65","79.24","7.83","78.58","100.00","56.51","8.56","9.05","37.62","120.01","199.10","832.15"
"LAVV3","48.69","78.29","77.93","14.88","80.00","100.00","56.27","23.68","25.76","90.42","126.65","187.50","0.00"
"RECV3","64.34","65.31","50.29","11.40","80.00","100.00","55.88","1.82","-17.28","-26.85","-32.35","0.00","0.00"
"PETR4","62.71","63.03","75.98","11.78","64.18","100.00","55.08","4.26","-3.07","-3.29","22.56","378.94","1254.15"
"CMIG3","56.18","75.52","49.46","17.85","80.00","100.00","55.06","1.08","-0.07","9.66","18.92","266.22","602.13"
"SAPR11","63.45","66.58","47.61","16.16","75.10","100.00","54.67","7.50","1.58","15.80","66.07","77.45","0.00"
"GOAU4","75.16","48.07","40.00","9.24","80.00","100.00","54.46","2.21","-0.43","-11.72","-10.46","62.87","339.26"
"BPAC11","32.77","88.30","73.80","5.82","100.00","100.00","54.24","2.47","9.79","32.29","43.65","151.64","0.00"
"ITSA4","52.78","80.45","46.05","14.37","80.00","100.00","54.15","-0.27","1.76","12.24","52.19","129.17","488.60"
"PETR3","60.93","63.03","75.98","10.89","64.18","100.00","54.15","4.06","-3.15","-6.02","19.35","390.13","1082.73"
"CURY3","26.99","94.66","88.67","8.87","86.86","100.00","53.01","4.22","13.30","40.16","148.72","399.08","0.00"
"VLID3","61.22","68.96","29.97","24.31","80.00","100.00","53.01","3.04","-17.29","-4.37","36.95","189.53","-25.29"
"POMO4","42.55","76.04","80.77","12.66","80.00","100.00","52.84","5.45","23.28","24.92","106.69","393.81","806.49"
"VIVA3","39.77","86.42","70.41","6.05","80.00","100.00","52.67","5.93","13.98","4.16","9.60","23.24","0.00"
"ALOS3","51.55","56.50","72.91","5.03","88.82","100.00","51.68","7.03","14.03","12.92","15.58","4.60","105.70"
"KEPL3","48.08","74.54","54.01","10.47","80.80","100.00","51.19","7.87","-7.24","-24.45","-24.78","56.91","313.62"
"MDNE3","54.36","67.01","48.44","11.64","80.00","100.00","51.13","12.20","14.60","90.62","161.39","218.99","0.00"
"SHUL4","51.66","67.91","48.30","17.47","82.60","100.00","50.84","0.21","-11.24","-23.45","-32.07","73.95","896.98"
"PLPL3","38.84","88.36","53.56","11.80","80.00","100.00","50.55","29.24","6.62","49.44","106.69","145.21","0.00"
"RANI3","57.02","64.52","61.21","19.91","59.36","100.00","49.91","10.87","7.06","16.99","-23.65","131.91","264.63"
"GFSA3","100.00","0.00","29.78","0.00","76.12","100.00","49.69","-13.40","-46.53","-76.71","-86.02","-98.56","-99.78"
"BBSE3","40.55","99.42","20.09","8.80","80.00","100.00","49.55","-2.40","-10.66","-5.80","16.43","76.02","136.87"
"AMER3","100.00","0.00","33.33","0.00","71.32","100.00","49.26","36.87","25.32","3.80","-91.67","-99.93","-99.61"
"BMOB3","41.48","54.72","81.34","5.37","96.80","100.00","48.98","1.02","11.44","55.40","94.36","0.00","0.00"
"DIRR3","34.02","81.67","72.92","5.99","80.16","100.00","48.78","10.13","19.12","55.81","186.27","363.78","2136.62"
"BRFS3","47.62","67.85","53.19","8.27","80.00","100.00","48.56","5.33","2.05","-13.15","139.12","-0.86","-69.05"
"CIEL3","51.99","58.45","59.27","0.00","80.00","100.00","48.42","0.00","0.00","0.00","0.00","0.00","0.00"
"ODPV3","28.97","97.74","40.22","4.82","91.58","100.00","48.40","5.33","19.99","21.87","47.77","54.08","124.86"
"ABEV3","40.93","81.42","38.82","5.61","86.22","100.00","48.24","4.14","-7.64","5.45","4.44","20.61","-10.39"
"BLAU3","55.24","62.81","35.56","6.31","80.00","100.00","48.11","15.83","0.00","0.87","-11.93","0.00","0.00"
"CASH3","54.51","48.54","60.44","0.00","85.40","100.00","47.96","-15.81","-35.94","4.81","6.94","0.00","0.00"
"LEVE3","41.24","82.78","66.14","16.20","57.90","100.00","47.76","3.28","-7.11","-1.44","-24.01","206.11","205.73"
"CYRE3","55.33","61.06","41.30","9.82","75.38","100.00","47.75","18.15","20.64","42.15","52.68","59.88","464.23"
"EZTC3","59.90","50.05","40.10","15.24","80.00","100.00","47.74","17.59","24.76","22.60","-13.47","-52.04","146.87"
"ITUB3","47.50","70.56","57.75","14.49","64.96","100.00","47.30","-0.12","2.81","24.09","84.02","167.17","678.73"
"CEAB3","49.93","66.84","37.86","6.51","80.00","100.00","47.02","17.19","2.39","73.68","253.40","41.91","0.00"
"BRAP4","64.47","57.53","0.00","19.32","81.34","100.00","46.73","6.78","4.92","-5.96","-15.85","-23.59","334.42"
"SANB11","58.84","39.98","29.71","12.52","100.00","100.00","46.50","6.97","-2.51","-0.87","23.40","37.54","236.35"
"FESA4","55.52","38.29","58.34","13.96","88.00","100.00","46.30","7.05","-8.93","-13.86","-44.41","84.20","433.08"
"GGBR3","65.03","37.66","39.96","9.90","80.00","100.00","46.30","3.79","0.67","-6.92","-17.49","68.65","499.69"
"BBDC3","58.13","42.66","47.83","15.89","82.10","100.00","46.25","4.65","1.58","11.48","27.85","25.13","86.02"
"MILS3","47.45","68.47","46.33","9.84","72.06","100.00","46.12","-1.96","13.10","9.99","-6.75","106.83","183.81"
"ITUB4","45.13","70.56","57.75","13.01","64.96","100.00","46.04","-0.27","1.48","19.54","71.72","168.91","662.41"
"TIMS3","38.69","75.23","45.47","7.55","84.08","100.00","45.93","1.48","7.75","34.22","76.76","107.61","278.77"
"COGN3","73.76","46.02","31.81","6.44","50.00","100.00","45.78","2.82","0.69","104.02","8.66","-48.29","-63.94"
"USIM3","80.79","24.70","12.69","0.00","80.00","100.00","45.71","7.91","-7.98","-25.74","-37.85","-53.47","-47.37"
"USIM5","80.79","24.70","12.69","0.00","80.00","100.00","45.71","11.97","-8.92","-27.23","-35.30","-52.05","27.43"
"PGMN3","59.03","44.49","46.88","6.00","77.02","100.00","45.60","3.02","9.33","25.84","6.67","-56.94","0.00"
"VALE3","52.78","59.91","30.43","12.82","80.00","100.00","45.57","7.12","6.22","2.32","-4.51","50.03","452.72"
"VBBR3","60.00","57.09","45.58","13.91","53.96","100.00","45.45","17.37","13.45","3.19","46.58","35.44","0.00"
"GGBR4","63.29","37.66","39.96","9.15","80.00","100.00","45.40","0.80","-3.78","-10.62","-17.99","40.46","391.08"
"UNIP6","39.17","73.52","46.58","8.12","80.00","100.00","45.04","26.04","21.71","65.81","10.47","395.75","8539.36"
"INTB3","48.75","57.87","44.88","9.19","80.00","100.00","44.93","1.99","-13.27","-42.82","-38.66","0.00","0.00"
"PORT3","36.28","74.36","69.64","9.99","67.12","100.00","44.82","1.62","4.13","12.79","51.97","0.00","0.00"
"AZZA3","56.35","29.75","99.14","4.90","62.42","100.00","44.70","-0.49","-21.93","-32.62","-52.70","-39.11","89.18"
"BRSR6","75.54","23.86","44.33","22.69","58.60","100.00","44.43","0.34","-0.84","3.42","6.73","34.67","217.70"
"BBDC4","54.53","42.66","47.83","14.96","82.10","100.00","44.40","5.12","2.67","16.70","30.82","33.40","141.74"
"LREN3","43.56","62.88","42.04","9.24","84.66","100.00","44.35","-0.50","-14.08","-2.98","22.64","-49.36","31.26"
"TEND3","40.74","68.78","45.43","6.39","80.00","100.00","44.14","26.52","14.90","100.73","106.51","-9.37","0.00"
"CPFE3","48.45","69.71","40.36","15.13","59.90","100.00","43.93","-3.53","-5.95","20.84","24.95","103.38","314.15"
"ISAE3","60.38","59.93","29.25","16.59","52.12","100.00","43.81","0.75","0.69","-2.84","3.24","52.99","465.20"
"GUAR3","57.82","43.18","35.15","3.37","80.00","100.00","43.31","16.79","16.13","7.55","60.91","-38.13","96.49"
"RDOR3","27.61","62.76","87.37","4.36","84.04","100.00","42.76","5.55","10.84","15.67","43.05","0.00","0.00"
"SEER3","53.75","54.24","17.18","3.93","80.00","100.00","41.92","25.21","-0.29","55.39","75.23","-29.62","47.97"
"BRAV3","66.15","46.55","60.71","0.00","27.94","100.00","41.74","-6.64","-12.36","-17.76","-44.57","0.00","0.00"
"SBFG3","59.71","48.22","46.56","11.56","45.96","100.00","41.08","20.62","-2.27","-29.18","71.43","0.00","0.00"
"B3SA3","31.77","79.05","32.83","5.63","80.16","100.00","40.84","-1.60","-3.84","9.13","3.41","-17.45","387.70"
"SOJA3","47.68","37.63","61.41","6.44","80.00","100.00","40.66","5.52","-7.92","-15.83","-20.45","0.00","0.00"
"LOGG3","70.64","44.07","51.62","20.89","15.96","100.00","40.52","6.36","4.24","4.72","19.94","-12.23","0.00"
"WEGE3","13.22","93.14","58.63","4.48","84.32","100.00","40.43","1.97","-13.67","-29.97","4.77","23.18","570.89"
"CXSE3","38.92","69.63","21.17","10.90","80.00","100.00","40.07","2.58","-3.83","0.49","44.93","0.00","0.00"
"ELET3","51.99","47.95","34.61","5.09","70.84","100.00","40.00","5.16","15.21","21.56","42.75","70.48","994.44"
"CSMG3","48.12","58.85","42.55","11.13","54.80","100.00","39.62","22.51","22.99","37.31","116.08","250.20","1806.46"
"TTEN3","49.86","51.72","28.57","3.76","73.12","100.00","39.54","1.90","-1.63","17.95","4.99","0.00","0.00"
"ELET6","50.70","47.95","34.61","5.29","70.84","100.00","39.36","2.57","5.87","12.14","39.06","82.92","689.16"
"MYPK3","69.65","36.73","36.74","9.73","37.40","100.00","39.32","-1.27","4.25","27.53","1.36","32.86","21.31"
"BBAS3","57.67","26.55","46.34","12.81","69.08","100.00","38.21","8.72","1.13","-18.12","5.93","100.10","332.40"
"MTRE3","72.72","35.78","51.25","9.60","13.14","100.00","37.89","13.37","-4.69","14.66","-15.36","-61.11","0.00"
"FLRY3","42.24","48.44","56.35","5.37","62.16","100.00","36.80","11.90","18.80","0.13","18.92","-29.84","191.48"
"BPAN4","40.04","34.48","36.54","6.64","100.00","100.00","36.18","-1.46","-2.41","-23.66","-8.04","4.08","593.86"
"MULT3","35.90","65.33","42.89","8.36","57.10","100.00","35.82","6.85","9.83","6.70","20.62","45.28","156.41"
"VIVT3","38.09","50.81","35.62","1.91","80.00","100.00","35.73","0.58","11.53","29.74","72.81","89.04","259.70"
"MGLU3","56.91","32.16","21.93","5.99","69.96","100.00","35.68","54.38","6.79","-9.25","-57.55","-95.29","1406.10"
"ANIM3","64.70","48.00","42.86","4.22","10.04","100.00","35.40","6.08","-17.88","11.98","15.24","19.29","294.46"
"TAEE11","52.56","63.87","17.52","18.66","31.66","100.00","35.33","2.74","1.10","4.70","14.25","98.73","385.11"
"UGPA3","52.28","33.66","57.17","9.17","50.24","100.00","35.32","16.64","19.69","-6.99","14.06","4.38","-20.10"
"PSSA3","43.84","30.62","48.72","11.63","80.00","100.00","35.00","-3.24","-5.26","56.34","105.87","151.40","398.87"
"ARML3","49.12","47.05","81.58","14.24","13.82","100.00","34.39","-0.30","-15.47","-56.81","-67.56","0.00","0.00"
"TOTS3","11.61","74.62","58.65","2.87","83.28","100.00","33.79","2.65","3.76","44.07","49.37","56.96","382.45"
"RADL3","19.81","65.05","54.15","4.82","80.00","100.00","33.78","1.88","27.84","-31.74","-33.28","-13.90","145.18"
"LWSA3","39.09","29.81","50.89","1.95","83.84","100.00","32.99","4.84","3.34","-3.04","-34.88","-70.82","0.00"
"MDIA3","43.53","39.33","18.57","5.14","81.40","100.00","32.89","-1.21","23.63","6.69","-23.60","-13.85","64.34"
"GGPS3","30.30","54.33","28.57","4.42","78.22","100.00","31.60","9.47","15.76","-0.99","2.76","0.00","0.00"
"POSI3","48.79","30.29","8.85","100.00","57.42","100.00","31.29","8.17","-2.02","-25.51","-37.77","14.53","260.81"
"SLCE3","46.44","51.19","42.08","7.41","30.14","100.00","31.29","-0.70","-10.71","-1.22","-11.01","92.21","646.88"
"CBAV3","61.52","34.44","28.57","0.00","29.02","100.00","31.18","22.19","-15.37","-21.49","-22.76","0.00","0.00"
"ENGI11","54.27","48.02","53.36","15.25","3.42","100.00","30.99","5.19","2.65","6.71","5.54","41.20","420.41"
"MOVI3","53.01","48.89","63.59","5.49","0.00","100.00","30.98","15.87","3.93","22.25","-27.15","-42.26","0.00"
"FRAS3","31.81","53.32","54.45","5.90","52.70","100.00","30.90","0.23","-18.36","11.20","58.36","373.64","929.11"
"TASA4","70.40","35.13","0.00","11.49","21.16","100.00","30.54","4.49","-32.37","-50.63","-66.18","-29.72","457.49"
"ETER3","71.62","22.75","10.31","4.42","30.28","100.00","30.46","15.27","18.67","-15.73","-41.83","6.07","-47.64"
"EMBR3","24.96","53.77","38.32","0.27","80.00","100.00","30.37","-1.21","9.54","47.89","333.40","1017.89","205.09"
"ALUP11","53.11","55.74","0.00","7.53","32.90","100.00","30.24","4.76","0.10","5.42","20.12","80.75","247.63"
"SMFT3","28.03","54.79","28.57","4.57","75.00","100.00","29.96","8.05","4.12","13.16","27.25","0.00","0.00"
"AZEV4","53.29","0.00","60.71","0.00","70.54","100.00","29.86","-15.25","-28.57","-62.12","-76.53","-85.92","-91.45"
"PRIO3","58.97","0.00","99.83","0.00","25.12","100.00","29.49","-1.68","-11.57","-11.91","-22.65","390.01","16807.64"
"RENT3","41.27","46.61","61.98","5.90","25.72","100.00","29.35","11.35","-15.74","-11.31","-33.24","-20.30","525.99"
"STBP3","18.28","86.34","47.22","2.35","35.54","100.00","29.35","1.77","4.51","29.37","95.27","305.01","0.00"
"ALPA4","30.32","35.68","44.00","2.75","81.74","100.00","28.95","5.64","7.58","34.19","18.92","-72.73","108.41"
"PNVL3","47.36","37.27","49.30","9.65","28.64","100.00","28.47","-2.41","16.91","-2.44","-17.01","-53.81","72.57"
"YDUQ3","46.91","45.29","52.35","8.75","9.80","100.00","27.29","3.15","-20.95","28.11","-29.75","-50.35","34.54"
"ECOR3","52.46","46.30","42.23","9.72","0.00","100.00","26.94","13.68","4.13","0.88","11.27","-37.12","51.39"
"QUAL3","60.54","34.89","0.00","0.84","29.02","100.00","26.58","7.73","0.82","-9.03","-37.51","-93.29","-81.87"
"SMTO3","54.86","42.92","18.16","9.97","14.60","100.00","26.45","6.84","-13.50","-32.22","-54.99","-12.93","89.97"
"IRBR3","38.07","30.55","14.12","0.00","80.00","100.00","26.32","-1.50","-3.23","-2.62","13.83","-69.27","0.00"
"DASA3","74.74","0.00","37.98","0.00","16.16","100.00","26.30","-8.90","-11.92","-55.81","-89.75","-98.02","-85.32"
